,sms,spam,
0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face &lt;#&gt; .joker face.,FALSE,
1,Hhahhaahahah rofl was leonardo in your room or something,FALSE,
4,Oh for  sake she's in like ,FALSE,
5,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a :),FALSE,
6,Lul im gettin some juicy gossip at the hospital.  Oyea.,FALSE,
7,"My planning usually stops at ""find hella weed, smoke hella weed""",FALSE,
8,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,FALSE,
9,"""HI BABE UAWAKE?FEELLIKW .JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS Â– (oofin) NICE!,.ANYWAY,IÂ’L CALL U""",FALSE,
10,Ho ho - big belly laugh! See ya tomo,FALSE,
11,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",TRUE,
12,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,FALSE,
13,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,FALSE,
14,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",FALSE,
15,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",FALSE,
16,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,FALSE,
17,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",FALSE,
18,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a /make them smoke too much/impede their doing other things so you see how I'm hesitant,FALSE,
19,Get me out of this dump heap. My mom decided to come to lowes. BORING.,FALSE,
20,"Sorry I flaked last night,  seriously goin down with my roommate, what you up to tonight?",FALSE,
21,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,FALSE,
22,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,FALSE,
23,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,FALSE,
24,SORRY IM STIL  AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,FALSE,
25,"Just looked it up and addie goes back Monday, sucks to be her",FALSE,
26,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,FALSE,
27,That sucks. I'll go over so u can do my hair. You'll do it free right?,FALSE,
28,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,FALSE,
29,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",FALSE,
30,Stupid.its not possible,FALSE,
31,Stupid.its not possible,FALSE,
32,Stupid.its not possible,FALSE,
33,You'd like that wouldn't you? !,FALSE,
34,Lol I would but my mom would  and tell the whole family how  and  I am,FALSE,
35,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",FALSE,
36,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",FALSE,
37,hi baby im sat on the  bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,FALSE,
38,Haf u found him? I feel so stupid da v cam was working.,FALSE,
39,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,FALSE,
40,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,FALSE,
41,"""BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IÂ’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.""",FALSE,
42,"cmon babe, make me , ! Txt me  now babe -) Im . All replies cost Â£1.50. 2 cancel send STOP",TRUE,
43,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),FALSE,
44,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),FALSE,
45,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,FALSE,
46,Hurry home u . Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,FALSE,
47,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,FALSE,
48,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",FALSE,
49,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,FALSE,
50,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,FALSE,
51,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz , I'm basically GOOD",FALSE,
52,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz , I'm basically GOOD",FALSE,
53,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),FALSE,
54,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?",FALSE,
55,Stupid auto correct on my phone,FALSE,
56,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",FALSE,
57,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a  tonight come round if you like.,FALSE,
58,i am seeking a  and a . Is that you?,FALSE,
59,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",FALSE,
60,Go fool dont cheat others ok,FALSE,
61,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,FALSE,
62,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,FALSE,
63,I've been barred from all B and Q stores for life!?This  in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,FALSE,
64, :) are you ready to  as well?,FALSE,
65,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,FALSE,
66,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",FALSE,
67,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",FALSE,
68,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",FALSE,
69,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",FALSE,
70,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",FALSE,
71,Hey I am really  want to chat or  text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,TRUE,
72,Okie but i scared u say i ... Then u dun wan me already...,FALSE,
73,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet*  !! I want him now !!,FALSE,
74,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,FALSE,
75,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,FALSE,
76,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,FALSE,
77,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,FALSE,
